Transaction_ID,Date,Day,Time,Stall Number,Type of Food,Food Category,Quantity Sold,Unit Price,Total Sales,Payment Method,Customer Type,Stock Before,Stock After
S32,05/20/2026,Wednesday,16:31,17,Burger Steak,Snack,2,30,60,Cash,Student,50,48
M40,05/20/2026,Wednesday,15:02,18,Lechon Paksiw,Meal,2,50,100,Cash,Student,50,48
M41,05/20/2026,Wednesday,10:42,19,Sago't Gulaman,Meal,2,50,100,Cash,Employee,50,48
D1,05/21/2026,Thursday,13:07,6,Boneless Fried Chicken,Dessert,5,35,175,Cash,Employee,50,45
S!,05/21/2026,Thursday,9:48,13,Boneless Fried Chicken,Snack,3,30,90,E-Wallet,Student,50,47
B31,05/21/2026,Thursday,12:51,25,Burger Steak,Beverage,2,25,50,Cash,Student,50,48
S40,05/22/2026,Friday,13:29,1,Tofu Sisig,Snack,2,49,98,Cash,Student,50,48
B33,05/22/2026,Friday,12:49,12,Dean's Burger,Beverage,1,25,25,Cash,Student,50,49
B37,05/22/2026,Friday,14:05,14,Kare-Kare w/ Rice,Beverage,1,35,35,Cash,EMPLOYEE,50,49
S34,05/22/2026,Friday,9:04,17,Giga Fries,Snack,1,35,35,E-Wallet,Employee,50,49
S37,05/22/2026,Friday,15:02,17,Giga Fries,Snack,2,30,60,Cash,Employee,50,48
M57,05/22/2026,Friday,13:10,18,Jumbo Fries,Meal,3,79,237,Cash,EMPLOYEE,50,47
M58,05/22/2026,Friday,11:26,19,Beef Tapa,Meal,3,50,150,Cash,Employee,50,47
B45,05/22/2026,Friday,7:03,23,Beef Tapa,Beverage,2,20,40,E-Wallet,Student,50,48
S36,05/22/2026,Friday,13:37,23,Watermelon,Snack,5,30,150,Cash,Student,50,45
B42,05/22/2026,Friday,14:43,24,Milky Watermelon,Beverage,1,49,49,Cash,Student,50,49
D2,05/23/2026,Saturday,7:47,6,Boneless Fried Chicken,Dessert,3,28,84,E-Wallet,Student,50,47
B40,05/23/2026,Saturday,12:20,8,Tofu Sisig,Beverage,1,38,38,Cash,Student,50,49
M50,05/23/2026,Saturday,9:00,11,Tofu Sisig,Meal,2,70,140,Cash,EMPLOYEE,50,48
,05/23/2026,Saturday,13:02,13,Tonkatsu w/ Rice,Beverage,2,40,80,Cash,Employee,50,48
B43,05/23/2026,Saturday,9:40,14,Hungarian w/ Rice,Beverage,3,25,75,Cash,Student,50,47
B34,05/23/2026,Saturday,13:38,14,Tonkatsu w/ Rice,Beverage,1,35,35,E-Wallet,Student,50,49
B36,05/23/2026,Saturday,11:23,16,Cheesy FEWA,Beverage,1,35,35,Cash,Student,50,49
M46,05/23/2026,Saturday,15:43,16,Cheesy Biggy Burger Solo,Meal,1,60,60,Cash,Employee,50,49
S38,05/23/2026,Saturday,13:04,17,Cheesy Biggy Burger B1T1,Snack,3,30,90,Cash,Student,50,47
S35,05/23/2026,Saturday,13:46,17,Cheesy FEWA,Snack,3,26,78,E-Wallet,Student,50,47
M51,05/23/2026,Saturday,8:06,18,Cheesy Biggy Burger B1T1,Meal,2,79,158,E-Wallet,STUDENT,50,48
S39,05/23/2026,Saturday,9:31,18,Mais Con Yelo,Snack,4,49,196,Cash,Student,50,46
M56,05/23/2026,Saturday,11:23,19,Carbonara,Meal,2,50,100,E-Wallet,Employee,50,48
M45,05/23/2026,Saturday,10:05,22,Cheesy FEWA,Meal,4,65,260,E-Wallet,Employee,50,46
M48,05/23/2026,Saturday,10:55,22,Kape Vanilla,Meal,3,70,210,Cash,Student,50,47
B44,05/23/2026,Saturday,12:34,24,Squash Based Churros,Beverage,1,59,59,Cash,STUDENT,50,49
M#,05/23/2026,Saturday,13:30,24,Milky Watermelon,Meal,2,75,150,E-Wallet,Employee,50,48
M44,05/23/2026,Saturday,9:42,26,Mango Tapioca,Meal,2,50,100,E-Wallet,Employee,50,48
M47,05/23/2026,Saturday,16:28,26,Pork Mushroom,Meal,3,75,225,Cash,Student,50,47
S41,05/25/2026,Monday,9:07,2,Bopis w/ Rice,Snack,4,35,140,Cash,EMPLOYEE,50,46
S50,05/25/2026,Monday,8:10,3,Fried Noodles w/ Siomai,Snack,3,20,60,E-Wallet,STUDENT,50,47
m66,05/25/2026,Monday,9:15,3,Corn Dog w Cheese,Meal,2,75,150,E-Wallet,EMPLOYEE,50,48
m84,05/25/2026,Monday,12:58,3,Egg Sandwich,Meal,5,75,375,Cash,STUDENT,48,43
M89,05/25/2026,Monday,16:52,3,Egg Sandwich w/ Cheese,Meal,1,75,75,Cash,Employee,50,49
B41,05/25/2026,Monday,10:35,8,Premium Cruncy Bar,Beverage,1,38,38,Cash,STUDENT,50,49
b55,05/25/2026,Monday,17:02,13,Rice Chicken Pops,Beverage,1,25,25,E-Wallet,Student,50,49
B37,05/25/2026,Monday,15:03,14,Belgian Chocolate,Beverage,1,35,35,Cash,Student,50,49
B35,05/25/2026,Monday,14:25,16,Cheesy Biggy Bacon Burger,Beverage,2,30,60,E-Wallet,Employee,50,48
M86,05/25/2026,Monday,15:50,16,Bottled Water,Meal,3,50,150,Cash,Employee,50,47
M73,05/25/2026,Monday,11:00,18,Lemonade,Meal,2,143,286,E-Wallet,EMPLOYEE,50,48
M53,05/25/2026,Monday,11:50,18,Buy 1 Take 1 Shawarma Rice,Meal,1,143,143,E-Wallet,Student,48,47
M85,05/25/2026,Monday,12:04,18,Buy 1 Take 1 Pad Kra Pao,Meal,3,143,429,Cash,Student,47,44
B38,05/25/2026,Monday,13:31,18,Bacon & Cheese,Beverage,1,40,40,Cash,EMPLOYEE,50,49
S45,05/25/2026,Monday,14:34,18,Creamstick,Snack,3,49,147,E-Wallet,Student,50,47
S#52,05/25/2026,Monday,15:34,18,Watermelon,Snack,2,49,98,Cash,Student,47,45
M62,05/25/2026,Monday,17:48,18,Melon,Meal,1,143,143,Cash,Student,44,43
B66,05/25/2026,Monday,9:20,19,Ultimate Ube,Beverage,3,20,60,Cash,Student,50,47
M55,05/25/2026,Monday,14:28,19,Siomai w Rice,Meal,1,50,50,E-Wallet,Student,50,49
B53,05/25/2026,Monday,15:21,19,1pc Chicken w/ Rice & Drinks,Beverage,3,40,120,Cash,STUDENT,47,44
M49,05/25/2026,Monday,11:33,22,Hotcake,Meal,2,90,180,Cash,Employee,50,48
M61,05/25/2026,Monday,8:18,23,Bacon Hotdog Rice,Meal,2,50,100,Cash,Student,50,48
M100,05/25/2026,Monday,8:53,23,Beef Tapa,Meal,4,60,240,E-Wallet,Student,50,46
B67,05/25/2026,Monday,9:21,23,2pcs Chicken Wings w/ Rice,Beverage,2,20,40,Cash,Student,50,48
M87,05/25/2026,Monday,9:44,23,2pcs Chicken w/ Rice,Meal,1,60,60,Cash,Student,46,45
M69,05/25/2026,Monday,14:50,23,Belgian Chocolate,Meal,1,60,60,E-Wallet,Student,50,49
SF24,05/25/2026,Monday,17:20,26,Red Iced Tea,Street Food,2,25,50,Cash,Student,50,48
,05/26/2026,Tuesday,7:28,3,Bottled Water,Meal,5,75,375,Cash,Student,50,45
S42,05/26/2026,Tuesday,8:27,3,Bottled Water,Snack,1,30,30,Cash,Employee,50,49
m94,05/26/2026,Tuesday,9:11,3,2pcs Chicken w/ Rice & Drinks,Meal,3,75,225,E-Wallet,Employee,50,47
S44,05/26/2026,Tuesday,12:01,3,Belgian Chocolate,Snack,4,20,80,E-Wallet,Employee,50,46
M78,05/26/2026,Tuesday,12:35,3,Lemon Iced Tea,Meal,2,75,150,E-Wallet,Employee,50,48
M68,05/26/2026,Tuesday,14:30,3,Cheese Stick,Meal,3,75,225,Cash,EMPLOYEE,47,44
M96,05/26/2026,Tuesday,17:36,3,Buy 1 Take 1 Meal,Meal,1,75,75,Cash,Student,50,49
s51,05/26/2026,Tuesday,16:07,13,Mango Tapioca,Snack,2,35,70,Cash,Student,50,48
B38,05/26/2026,Tuesday,11:41,14,Buy 1 Take 1 Meal,Beverage,1,45,45,Cash,Student,50,49
B40,05/26/2026,Tuesday,15:36,14,Shawarma Rice,Beverage,2,35,70,E-Wallet,Employee,49,47
b68,05/26/2026,Tuesday,10:13,15,Squeeze Lemonade w/ Yakult,Beverage,1,30,30,Cash,STUDENT,50,49
B62,05/26/2026,Tuesday,9:08,18,Mango Tapioca,Beverage,2,25,50,Cash,Student,50,48
,05/26/2026,Tuesday,15:15,18,Kape Hazelnut,Snack,4,49,196,E-Wallet,Student,50,46
M90,05/26/2026,Tuesday,16:32,18,Kape Chocolate,Meal,1,143,143,Cash,EMPLOYEE,50,49
M64,05/26/2026,Tuesday,7:37,19,Shawarma Rice Meal,Meal,1,50,50,Cash,Student,50,49
B63,05/26/2026,Tuesday,15:21,19,Mango Tapioca,Beverage,2,30,60,Cash,Student,50,48
M74,05/26/2026,Tuesday,16:52,19,2pcs Chicken Wings w/ Rice,Meal,1,50,50,Cash,EMPLOYEE,49,48
b54,05/26/2026,Tuesday,9:00,23,Shawarma Pita Solo,Beverage,2,40,80,Cash,Student,50,48
B61,05/26/2026,Tuesday,10:42,23,Kape Caramel,Beverage,3,60,180,Cash,Student,50,47
M81,05/26/2026,Tuesday,17:20,23,Matcha Latte,Meal,4,35,140,Cash,Employee,50,46
B46,05/26/2026,Tuesday,15:44,24,Mango Tapioca,Beverage,1,49,49,E-Wallet,Employee,50,49
,05/26/2026,Tuesday,17:46,24,Rice Chicken Pops,Beverage,1,39,39,Cash,Student,50,49
,05/26/2026,Tuesday,9:37,111,Beef Tapa Rice Bowl,Meal,1,80,80,E-Wallet,Student,50,49
S71,05/28/2026,Thursday,10:24,2,Spanish Latte,Snack,4,35,140,Cash,Employee,50,46
S86,05/28/2026,Thursday,13:18,2,Chicken Fillet Ricebowl,Snack,3,35,105,E-Wallet,Employee,46,43
S87,05/28/2026,Thursday,14:10,2,Rice Chicken Pops,Snack,1,65,65,E-Wallet,Student,50,49
S!82,05/28/2026,Thursday,15:57,2,C2 Apple,Snack,2,65,130,Cash,Student,49,47
S78,05/28/2026,Thursday,16:00,2,Carrot-Based Churros,Snack,1,85,85,Cash,Student,47,46
S80,05/28/2026,Thursday,17:22,2,Classic Crunch w/ Dip,Snack,3,35,105,Cash,Employee,50,47
S68,05/28/2026,Thursday,17:49,2,Strawberry Latte,Snack,2,35,70,E-Wallet,Student,47,45
,05/28/2026,Thursday,7:03,3,Tofu Sisig,Meal,5,75,375,Cash,Employee,50,45
m91,05/28/2026,Thursday,8:20,3,Bottled Water,Meal,1,75,75,E-Wallet,Student,50,49
M98,05/28/2026,Thursday,9:56,3,Squeeze Lemonade Classic,Meal,4,75,300,Cash,Employee,49,45
S47,05/28/2026,Thursday,13:02,3,Chicken Onion Rings Rice Bowl,Snack,4,20,80,Cash,Employee,50,46
m86,05/28/2026,Thursday,13:30,3,Chicken Fillet,Meal,3,75,225,Cash,Student,45,42
M82,05/28/2026,Thursday,13:52,3,Corn Dog,Meal,2,75,150,E-Wallet,Student,50,48
M88,05/28/2026,Thursday,15:12,3,Cucumber Lemonade,Meal,2,75,150,Cash,STUDENT,48,46
m101,05/28/2026,Thursday,16:55,3,Kape Matcha,Meal,3,75,225,Cash,STUDENT,46,43
D19,05/28/2026,Thursday,7:55,6,Shawarma Rice Meal,Dessert,5,30,150,Cash,EMPLOYEE,50,45
M113,05/28/2026,Thursday,7:55,6,Rice Chicken Pops,Meal,3,60,180,Cash,Student,50,47
M106,05/28/2026,Thursday,11:14,6,Pork Sisig,Meal,1,60,60,Cash,Student,47,46
d17,05/28/2026,Thursday,16:39,6,Liempo Sisig,Dessert,3,22,66,E-Wallet,Student,50,47
D16,05/28/2026,Thursday,17:40,6,Pork Sisig,Dessert,2,22,44,Cash,Student,47,45
D20,05/28/2026,Thursday,17:56,6,Sago't Gulaman,Dessert,2,22,44,Cash,Employee,45,43
B85,05/28/2026,Thursday,10:00,8,Shawarma Pita Solo,Beverage,4,38,152,Cash,Student,50,46
B88,05/28/2026,Thursday,10:33,8,Cucumber Lemonade,Beverage,1,38,38,E-Wallet,STUDENT,50,49
B49,05/28/2026,Thursday,12:23,8,Lechon Paksiw,Beverage,2,48,96,Cash,EMPLOYEE,50,48
B87,05/28/2026,Thursday,13:59,8,Cheese Balls,Beverage,3,38,114,Cash,EMPLOYEE,50,47
B80,05/28/2026,Thursday,15:20,8,Tofu Sisig,Beverage,3,38,114,Cash,Student,46,43
B39,05/28/2026,Thursday,16:05,8,Bottled Water,Beverage,2,38,76,Cash,EMPLOYEE,47,45
B81,05/28/2026,Thursday,16:30,8,Squeeze Lemonade Classic,Beverage,1,38,38,Cash,Student,45,44
S81,05/28/2026,Thursday,7:05,9,Lemon Iced Tea,Snack,1,228,228,E-Wallet,Student,50,49
S61,05/28/2026,Thursday,9:44,9,C2 Apple,Snack,3,97,291,E-Wallet,Employee,50,47
S62,05/28/2026,Thursday,10:18,9,Chicken Fillet,Snack,2,67,134,E-Wallet,Student,50,48
S66,05/28/2026,Thursday,12:16,9,Tofu Sisig,Snack,2,97,194,E-Wallet,STUDENT,47,45
,05/28/2026,Thursday,12:26,9,Shawarma Rice Meal,Snack,2,67,134,Cash,Student,48,46
S76,05/28/2026,Thursday,13:17,9,Rice Chicken Pops,Snack,1,198,198,Cash,Student,50,49
S82,05/28/2026,Thursday,14:21,9,Luncheon Meat,Snack,2,97,194,E-Wallet,Employee,45,43
s60,05/28/2026,Thursday,14:59,9,Beef Sisig,Snack,1,41,41,Cash,STUDENT,50,49
S79,05/28/2026,Thursday,17:44,9,Sisig Rice,Snack,1,97,97,Cash,Student,43,42
M117,05/28/2026,Thursday,9:34,10,Melon,Meal,1,70,70,Cash,Employee,50,49
M116,05/28/2026,Thursday,10:50,10,Chicken Sisig,Meal,3,85,255,E-Wallet,EMPLOYEE,50,47
M104,05/28/2026,Thursday,10:15,11,Lemon Iced Tea,Meal,2,99,198,Cash,Student,50,48
M119,05/28/2026,Thursday,12:40,11,Sago't Gulaman,Meal,1,119,119,Cash,Employee,50,49
,05/28/2026,Thursday,8:09,13,Chicken Onion Rings Rice Bowl,Meal,1,50,50,E-Wallet,Employee,50,49
M99,05/28/2026,Thursday,10:01,13,Pork Sisig,Meal,1,75,75,Cash,Student,50,49
m97,05/28/2026,Thursday,14:42,13,Shawarma Pita Solo,Meal,1,60,60,Cash,EMPLOYEE,50,49
,05/28/2026,Thursday,14:46,13,Luncheon Meat,Meal,1,60,60,E-Wallet,STUDENT,50,49
S48,05/28/2026,Thursday,16:23,13,Liempo Sisig,Snack,1,30,30,Cash,Employee,50,49
B71,05/28/2026,Thursday,10:43,14,Squeeze Lemonade Classic,Beverage,1,60,60,Cash,Employee,50,49
B90,05/28/2026,Thursday,13:52,14,Hotcake,Beverage,1,25,25,Cash,EMPLOYEE,50,49
S94,05/28/2026,Thursday,8:59,16,Rice Chicken Pops,Snack,1,75,75,Cash,STUDENT,50,49
S72,05/28/2026,Thursday,9:00,16,Liempo Sisig,Snack,2,25,50,Cash,Student,50,48
B73,05/28/2026,Thursday,9:54,16,Shawarma Pita Solo,Beverage,3,30,90,Cash,Employee,50,47
M105,05/28/2026,Thursday,9:57,16,C2 Apple,Meal,4,65,260,Cash,STUDENT,50,46
m71,05/28/2026,Thursday,11:25,16,Cheese Balls,Meal,3,60,180,Cash,Student,50,47
M72,05/28/2026,Thursday,11:40,16,Lychee,Meal,2,50,100,E-Wallet,STUDENT,50,48
S69,05/28/2026,Thursday,13:12,16,Shawarma Rice Meal,Snack,2,65,130,Cash,Employee,50,48
B46,05/28/2026,Thursday,13:46,16,Lechon Paksiw,Beverage,3,35,105,Cash,EMPLOYEE,47,44
S92,05/28/2026,Thursday,13:56,16,Tofu Sisig,Snack,1,75,75,Cash,STUDENT,49,48
M70,05/28/2026,Thursday,14:05,16,Squeeze Lemonade Classic,Meal,4,50,200,E-Wallet,Student,48,44
M95,05/28/2026,Thursday,14:06,16,Pork Sisig,Meal,2,65,130,Cash,STUDENT,46,44
M120,05/28/2026,Thursday,14:50,16,Pork Sisig,Meal,2,50,100,E-Wallet,Employee,44,42
B76,05/28/2026,Thursday,15:52,16,Cucumber Lemonade,Beverage,1,35,35,Cash,EMPLOYEE,44,43
M112,05/28/2026,Thursday,16:25,16,Liempo Sisig,Meal,1,65,65,E-Wallet,Student,44,43
B51,05/28/2026,Thursday,16:44,16,Egg Sandwich,Beverage,2,35,70,Cash,Student,43,41
M59,05/28/2026,Thursday,17:46,16,Sago't Gulaman,Meal,3,50,150,E-Wallet,STUDENT,42,39
S88,05/28/2026,Thursday,12:21,17,Beef Sisig,Snack,2,26,52,Cash,EMPLOYEE,50,48
B58,05/28/2026,Thursday,14:14,18,Shawarma Rice Meal,Beverage,1,35,35,Cash,Student,50,49
S43,05/28/2026,Thursday,15:17,18,Lemon Iced Tea,Snack,2,49,98,Cash,Employee,50,48
B#56,05/28/2026,Thursday,8:59,19,Pork Sisig,Beverage,2,20,40,Cash,Student,50,48
M92,05/28/2026,Thursday,9:45,19,Hotcake,Meal,1,50,50,Cash,Student,50,49
b70,05/28/2026,Thursday,10:25,19,Cheese Balls,Beverage,1,20,20,Cash,Student,50,49
B65,05/28/2026,Thursday,14:01,19,Egg Sandwich w/ Cheese,Beverage,3,40,120,Cash,Employee,48,45
B48,05/28/2026,Thursday,17:56,19,Rice Chicken Pops,Beverage,2,20,40,Cash,Employee,49,47
S96,05/28/2026,Thursday,16:22,20,Pork Sisig,Snack,2,70,140,Cash,STUDENT,50,48
,05/28/2026,Thursday,8:36,23,Pork Sisig,Beverage,3,30,90,Cash,STUDENT,50,47
m75,05/28/2026,Thursday,10:49,23,Burgersilog,Meal,2,35,70,E-Wallet,Student,50,48
M65,05/28/2026,Thursday,11:21,23,Tonkatsu w/ Rice,Meal,4,60,240,Cash,STUDENT,50,46
m93,05/28/2026,Thursday,11:34,23,Shawarma Pita Solo,Meal,1,60,60,Cash,EMPLOYEE,46,45
b59,05/28/2026,Thursday,16:10,23,Lemon Iced Tea,Beverage,2,30,60,Cash,Student,50,48
b57,05/28/2026,Thursday,16:46,23,Sago't Gulaman,Beverage,4,20,80,Cash,EMPLOYEE,47,43
M54,05/28/2026,Thursday,9:04,24,Liempo Sisig,Meal,1,75,75,E-Wallet,Student,50,49
D3,05/28/2026,Thursday,7:48,25,Longsilog,Dessert,1,50,50,Cash,EMPLOYEE,50,49
D10,05/28/2026,Thursday,9:17,25,Fried Noodles w/ Siomai,Dessert,2,25,50,Cash,EMPLOYEE,50,48
D11,05/28/2026,Thursday,10:11,25,Iced Tea Apple,Dessert,1,35,35,E-Wallet,Employee,50,49
D4,05/28/2026,Thursday,10:38,25,Pork Sisig,Dessert,2,25,50,Cash,Employee,48,46
D23,05/28/2026,Thursday,13:19,25,Sisigsilog,Dessert,2,50,100,E-Wallet,Employee,49,47
,05/28/2026,Thursday,15:36,25,Squeeze Lemonade Classic,Dessert,3,50,150,Cash,Student,47,44
